"","Occur_date","Occur_weekday","incident","cases","time","location","release","zip","lat","lon"
"22","2021-02-26","Friday","Intoxicated/Impaired Driver","2021-069842","20:03","1400 block Pleasure Dr.","Sgt. Joseph Engler",53704,43.1209484,-89.3696101
"23","2021-02-25","Thursday","Disturbance","2021-068335","18:19","800 block S Gammon Rd","PIO Tyler Grigg",53719,43.0472228,-89.5038856
"24","2021-02-24","Wednesday","Information","2021-067193","22:20","4402 E Broadway Service Rd","PIO Tyler Grigg",53716,43.0487396,-89.3047703
"25","2021-02-24","Wednesday","Robbery","2021-067017","19:16","200 block S. High Point Rd.","Lt. Eugene Woehrle",53717,43.0640378,-89.5177276
"26","2021-02-24","Wednesday","Miscellaneous Sex Offense","2020-385466","08:58","900 block N High Point Rd","PIO Tyler Grigg",53717,43.0781733,-89.5187572
"27","2021-02-23","Tuesday","Arrested Person","2021-065260","13:02","Waunona Woods Court","PIO Tyler Grigg",53713,43.0489961,-89.3413692
"28","2021-02-23","Tuesday","Arrested Person","2021-065463","15:23","E Washington Ave and N Dickinson St","PIO Tyler Grigg",53703,43.0886362,-89.3645095
"29","2021-02-23","Tuesday","Murder/Homicide","2021-065193","12:25","2402 Winnebago Street","PIO Tyler Grigg",53704,43.0982431,-89.3503717
"30","2021-02-22","Monday","Weapons Violation","2021-0064205","17:13","3900 E Washington Ave","Sgt. Luke Lengfeld",53704,43.1216458,-89.3190816
"31","2021-02-22","Monday","Weapons Violation","2021-0064205","17:13","3900 E Washington Ave","Sgt. Luke Lengfeld",53704,43.1216458,-89.3190816
"32","2021-02-21","Sunday","Traffic Incident","2021-062321","01:55","N Gammon Rd at Fiskdale Cir","PIO Tyler Grigg",53717,43.0800739,-89.502309
"33","2021-02-20","Saturday","Weapons Violation","2021-61179","02:50","Eastwood Dr near Amoth Court","Sgt. Ryan Gibson",53704,43.091416,-89.3536054
"34","2021-02-18","Thursday","Check Person","2021-058482","01:50","1000 block W Dayton St","PIO Tyler Grigg",53715,43.0709825,-89.402505
"35","2021-02-17","Wednesday","Check Person","2021-057592","10:32","1100 block Moorland Rd","PIO Tyler Grigg",53713,43.0337008,-89.3667818
"36","2021-02-16","Tuesday","Death Investigation","2021-056316","10:24","1700 block Blossom Ln","PIO Tyler Grigg",53716,43.0742047,-89.3089867
"37","2021-02-15","Monday","Robbery","2021-055626","18:39","2813 N Sherman Ave (Subway)","Sgt. Nicholas Ellis",53704,43.1276361,-89.3630365
"38","2021-02-15","Monday","Weapons Violation","2021-055159","12:44","900 Block of S Park St.","Sgt. Nicholas Ellis",53715,43.0578774,-89.4001047
"39","2021-02-15","Monday","Robbery","2021-054602","00:11","2700 Crossroads Dr. (hotel)","Sgt. Galen Wiering",53718,43.1334719,-89.2913532
"40","2021-02-14","Sunday","Robbery","2021-054426","20:31","7600 block Mineral Point Rd","PIO Tyler Grigg",53717,43.0609276,-89.5146721
"41","2021-02-13","Saturday","Robbery","2021-052476","03:02","500 block W Johnson St","PIO Tyler Grigg",53703,43.0722903,-89.393549
"42","2021-02-13","Saturday","Theft","2021-053162","17:19","1100 Williamson St","PIO Tyler Grigg",53703,43.0820322,-89.366141
"43","2021-02-13","Saturday","Theft","2021-053092","16:34","66 West Towne Mall","PIO Tyler Grigg",53719,43.0569762,-89.5055749
"44","2021-02-13","Saturday","Theft","2021-053092","16:34","66 West Towne Mall","PIO Tyler Grigg",53719,43.0569762,-89.5055749
"45","2021-02-13","Saturday","Information","2021-053235","18:22","2134 W Beltline Hwy","PIO Tyler Grigg",53713,43.036745,-89.4147279
"46","2021-02-12","Friday","Robbery","2021-51682","13:40","686 S Whitney Way","PIO Tyler Grigg",53711,43.0506453,-89.4735969
"47","2021-02-12","Friday","Traffic Incident","2021-052023","18:04","1900 block Winnebago St","Sgt. Gregory Sosoka",53704,43.0901316,-89.3566889
"48","2021-02-11","Thursday","Threats","2021-050687","19:19","33 Junction Ct","PIO Tyler Grigg",53717,43.0737431,-89.5244497
"49","2021-02-11","Thursday","Traffic Incident","2021-049801","06:11","E Washington Ave and N Fourth St","PIO Tyler Grigg",53704,43.0961697,-89.3541842
"50","2021-02-10","Wednesday","Drug Investigation","2020-81681","10:06","6200 block Maywood Ave","PIO Tyler Grigg",53562,43.1008438,-89.4867537
"51","2021-02-10","Wednesday","Theft","2021-048910","11:58","8080 Watts Rd","PIO Tyler Grigg",53719,43.0550592,-89.5192377
"52","2021-02-08","Monday","Drug Investigation","2020-305665","11:15","2100 block E Springs Dr","PIO Tyler Grigg",53704,43.1255801,-89.2979791
"53","2021-02-08","Monday","Weapons Violation","2021-046804","17:24","711 S Gammon Rd","PIO Tyler Grigg",53711,43.0489722,-89.5026334
"54","2021-02-08","Monday","Traffic Incident","2021-046577","14:17","Mendota St and Lien Rd","PIO Tyler Grigg",53704,43.1209305,-89.3237972
"55","2021-02-08","Monday","Attempted Homicide","2021-047033","20:52","3000 block of Webb Ave","Sgt. Kurt Wege",53714,43.1052135,-89.3403657
"56","2021-02-08","Monday","Robbery","2021-046246","10:05","3801 E Washington Ave","PIO Tyler Grigg",53714,43.1177159,-89.3183571
"57","2021-02-08","Monday","Robbery","2021-046246","10:05","3801 E Washington Ave","PIO Tyler Grigg",53714,43.1177159,-89.3183571
"58","2021-02-08","Monday","Non-Residential Burglary","2021-045955","03:35","5300 block Park Meadow Dr","PIO Tyler Grigg",53704,43.1157403,-89.2891555
"59","2021-02-07","Sunday","Check Person","2021-045420","15:10","Waunona Woods Ct","PIO Tyler Grigg",53713,43.0489961,-89.3413692
"60","2021-02-07","Sunday","Intoxicated/Impaired Driver","2021-045804","21:55","6800 block Schroeder Rd","PIO Tyler Grigg",53711,43.0478509,-89.501721
"61","2021-02-07","Sunday","Robbery","2021-045165","11:06","255 Junction Road","Lt. David Jugovich",53717,43.0643723,-89.5244376
"62","2021-02-06","Saturday","Missing Adult","2021-043607","00:04","700 block Cherrywood Ct","Sgt. Ryan Gibson",53714,43.1048927,-89.3094533
"63","2021-02-05","Friday","Non-Residential Burglary","2021-43490","21:36","2200 block S. Stoughton Rd (Farm and Fleet)","Sgt. Ryan Gibson",53716,43.0656035,-89.309824
"64","2021-02-05","Friday","Theft","2021-042342","04:46","1800 block Prairie Rd","PIO Tyler Grigg",53711,43.0335745,-89.4890433
"65","2021-02-04","Thursday","Traffic Incident","2021-041791","16:42","1200 Block East Washington Avenue","Sgt. Livia Novitzke",53703,43.0867958,-89.3686163
"66","2021-02-04","Thursday","Traffic Incident","2021-041316","10:39","Raymond Rd and McKenna Blvd","PIO Tyler Grigg",53711,43.0317083,-89.4968743
"67","2021-02-04","Thursday","Robbery","2021-041276","10:15","402 S Gammon Rd","PIO Tyler Grigg",53717,43.0601118,-89.5034127
"68","2021-02-03","Wednesday","Exposure","2021-040898","23:30","500 W Mifflin St","PIO Tyler Grigg",53703,43.0709329,-89.3918188
"69","2021-02-03","Wednesday","Residential Burglary","2021-039769","03:57","100 block Alton Dr","PIO Tyler Grigg",53718,43.0983695,-89.278898
"70","2021-02-02","Tuesday","Fraud","2021-0900945","12:00","6200 block Kilpatrick Ln","PIO Tyler Grigg",53718,43.0854284,-89.2737562
"71","2021-02-02","Tuesday","Theft","2021-039873","07:28","6655 McKee Rd","PIO Tyler Grigg",53719,43.0136861,-89.4979887
"72","2021-02-02","Tuesday","Disturbance","2021-039282","17:14","102 W Corporate Dr","PIO Tyler Grigg",53714,43.0986302,-89.3222691
"73","2021-02-02","Tuesday","Disturbance","2021-039282","17:14","102 W Corporate Dr","PIO Tyler Grigg",53714,43.0986302,-89.3222691
"74","2021-02-02","Tuesday","Traffic Incident","2021-38959","12:53","E Washington Ave and Independence Ln","PIO Tyler Grigg",53704,43.1280834,-89.3083387
"75","2021-02-02","Tuesday","Theft","2021-38680","09:28","3019 E Washington Ave","PIO Tyler Grigg",53704,43.1037753,-89.3419911
"76","2021-02-02","Tuesday","Weapons Violation","2021-38426","01:33","Donald Dr and Crest Line Dr","PIO Tyler Grigg",53704,43.1357827,-89.3125129
"77","2021-02-01","Monday","Drug Investigation","2021-003431","11:29","500 block S Perry Pkwy (Oregon)","PIO Tyler Grigg",53575,42.9224544,-89.3732736
"78","2021-01-30","Saturday","Non-Residential Burglary","2021-034789","05:43","2121 S Park St","PIO Tyler Grigg",53713,43.0422565,-89.3935753
"79","2021-01-30","Saturday","Disturbance","2021-035622","21:44","4862 Hayes Rd","PIO Tyler Grigg",53704,43.135956,-89.3005529
"80","2021-01-30","Saturday","Disturbance","2021-035267","15:48","7011 Watts Rd (Subway)","Sgt. Ronald Webster",53719,43.0498188,-89.5042226
"81","2021-01-29","Friday","Theft","2021-033778","12:02","6698 Odana Rd","PIO Tyler Grigg",53719,43.0568168,-89.4958761
"82","2021-01-29","Friday","Weapons Violation","2021-033942","14:38","4200 block of Maher Ave","Sgt. Jared Prado",53716,43.0808877,-89.3176171
"83","2021-01-28","Thursday","Traffic Incident","2021-33187","23:10","Fish Hatchery Rd and W Badger Rd","PIO Tyler Grigg",53713,43.0386117,-89.4040854
"84","2021-01-28","Thursday","Missing Adult","2021-032124","03:10","5000 block E Buckeye Rd","PIO Tyler Grigg",53716,43.0733577,-89.2957758
"85","2021-01-28","Thursday","Threats","2021-32506","11:49","673 State St","PIO Tyler Grigg",53703,43.0747822,-89.3972013
"86","2021-01-24","Sunday","Missing Juvenile","2021-0027454","10:49","2800 block of Curry Parkway","Capt. Michael Hanson",53713,43.0349061,-89.4264274
"87","2021-01-24","Sunday","Theft","2021-027441","10:38","300 block East Towne Mall","PIO Tyler Grigg",53704,43.1279489,-89.3043635
"88","2021-01-22","Friday","Disturbance","2021-025736","20:24","89 East Towne Mall","PIO Tyler Grigg",53704,43.1248734,-89.3046417
"89","2021-01-22","Friday","Robbery","2021-025375","14:29","4222 E Washington Ave","PIO Tyler Grigg",53704,43.1267508,-89.3113711
"90","2021-01-22","Friday","Non-Residential Burglary","2021-024807","03:17","116 W Mifflin St","PIO Tyler Grigg",53703,43.0744442,-89.3872211
"91","2021-01-21","Thursday","Weapons Violation","2021-024627","23:10","1600 block Wright St","PIO Tyler Grigg",53704,43.1187489,-89.3305383
"92","2021-01-20","Wednesday","Arrested Person","2021-23237","21:08","200 N First St","PIO Tyler Grigg",53704,43.0934194,-89.3619627
"93","2021-01-20","Wednesday","Weapons Violation","2021-022721","14:08","Woodridge Ct","PIO Tyler Grigg",53704,43.1142701,-89.2987916
"94","2021-01-18","Monday","Fraud","2021-21211","12:00","4020 Mineral Point Rd","PIO Tyler Grigg",53705,43.0609982,-89.4432004
"95","2021-01-18","Monday","Fraud","2021-21211","12:00","4020 Mineral Point Rd","PIO Tyler Grigg",53705,43.0609982,-89.4432004
"96","2021-01-18","Monday","Arrested Person","2021-020277","12:37","100 block of S Bassett St","PIO Tyler Grigg",53703,43.0692423,-89.3895409
"97","2021-01-17","Sunday","Weapons Violation","2021-19572","18:57","700 Block of Pflaum Rd.,","Lt. Shannon Blackamore",53716,43.0627884,-89.3200799
"98","2021-01-17","Sunday","Weapons Violation","2021-18830","12:57","N. Sherman and Manley St. (Intersection)","Lt. Shannon Blackamore",53704,43.1240752,-89.363618
"99","2021-01-17","Sunday","Arrested Person","2021-18650","00:11","117 MLK Jr. Blvd (State Captiol Building)","Lt. Shannon Blackamore",53703,43.0736557,-89.382477
"100","2021-01-17","Sunday","Arrested Person","2021-18650","00:11","117 MLK Jr. Blvd (State Captiol Building)","Lt. Shannon Blackamore",53703,43.0736557,-89.382477
"101","2021-01-16","Saturday","Traffic Incident","2021-18052","10:39","S Stoughton Rd and Lexington Ave","PIO Tyler Grigg",53716,43.0723218,-89.3084055
"102","2021-01-15","Friday","Weapons Violation","2021-017529","20:28","100 block S. Walbridge Ave.","Lt. Eugene Woehrle",53714,43.0964701,-89.3125223
"103","2021-01-14","Thursday","Weapons Violation","2021-16185","19:24","1003 Erin St","PIO Tyler Grigg",53715,43.0598609,-89.4024654
"104","2021-01-14","Thursday","Threats","2021-15491","08:49","E Washington Ave and North Street","PIO Tyler Grigg",53704,43.1003868,-89.3485901
"105","2021-01-12","Tuesday","Residential Burglary","2021-013259","12:54","100 block of Meadow Ridge Ln","PIO Tyler Grigg",53704,43.1381687,-89.4019471
"106","2021-01-12","Tuesday","Intoxicated/Impaired Driver","2021-13144","11:34","Cottage Grove Rd and Atwood Ave","PIO Tyler Grigg",53714,43.0837163,-89.3250164
"107","2021-01-12","Tuesday","Weapons Violation","2021-013679","18:15","1907 S. Park St. (PLS Check Cashing)","Lt. Eugene Woehrle",53713,43.0451899,-89.3935155
"108","2021-01-12","Tuesday","Information","2021-013175","11:55","1025 Regent St","P.O. Tyler Grigg",53715,43.067335,-89.4028697
"109","2021-01-10","Sunday","Weapons Violation","2021-011186","18:22","4200 E. Washington Ave.","Lt. Eugene Woehrle",53704,43.1264121,-89.3117481
"110","2021-01-09","Saturday","Weapons Violation","2021-9441","06:10","3841 E Washington Ave","PIO Tyler Grigg",53714,43.1195763,-89.3182105
"111","2021-01-09","Saturday","Damaged Property","2021-9450","06:45","4200 block Owl Creek Dr","PIO Tyler Grigg",53718,43.0376114,-89.2921244
"112","2021-01-09","Saturday","Theft","2021-9407","05:15","2900 block Ashford Ln","PIO Tyler Grigg",53713,43.0332693,-89.4251585
"113","2021-01-06","Wednesday","Threats","2021-6595","16:04","4505 East Towne Blvd","PIO Tyler Grigg",53704,43.1274609,-89.3066439
"114","2021-01-06","Wednesday","Residential Burglary","2021-005797","04:30","400 block Cosgrove Dr","PIO Tyler Grigg",53719,43.0078995,-89.489612
"115","2021-01-06","Wednesday","Theft","2021-00006456","17:40","4502 East Towne Blvd","P.O. Tyler Grigg",53704,43.1279943,-89.307163
"116","2021-01-05","Tuesday","Robbery","2021-005504","20:51","1423 Northport Dr., (Citgo Gas Station)","Lt. Shannon Blackamore",53704,43.1339758,-89.3717018
"117","2021-01-05","Tuesday","Robbery","2021-005504","20:51","1423 Northport Dr., (Citgo Gas Station)","Lt. Shannon Blackamore",53704,43.1339758,-89.3717018
"118","2021-01-05","Tuesday","Weapons Violation","2021-004821","11:39","900 block Stewart St","PIO Tyler Grigg",53713,43.0300399,-89.3965156
"119","2021-01-05","Tuesday","Residential Burglary","2021-004469","05:21","9000 block Silverton Lane","PIO Tyler Grigg",53719,43.0175637,-89.5066296
"120","2021-01-04","Monday","Theft","2021-003488","10:51","3167 E Washington Ave","PIO Tyler Grigg",53704,43.1082943,-89.3360695
"121","2021-01-04","Monday","Weapons Violation","2020-004173","21:02","4000 Block Owl Creek Dr.,","Lt. Shannon Blackamore",53718,43.039381,-89.2902145
"122","2021-01-04","Monday","Theft","2021-003233","05:38","2600 block of S. Stoughton Rd.","Sgt. Nicholas Ellis",53716,43.0603808,-89.3099622
"123","2021-01-04","Monday","Weapons Violation","2021-003242","06:17","800 block of Vernon Ave","Sgt. Nicholas Ellis",53714,43.0868481,-89.3060346
"124","2021-01-03","Sunday","Weapons Violation","2021-002807","19:00","Eagan Rd. / Lien Rd.","Lt. Eugene Woehrle",53704,43.1209338,-89.3073541
"125","2021-01-03","Sunday","Disturbance","2021-002678","16:38","4198 Nakoosa Trl","PIO Tyler Grigg",53714,43.1110204,-89.3127613
"126","2021-01-03","Sunday","Robbery","2021-002981","22:39","700 block Engelhart Dr.","Sgt. Galen Wiering",53713,43.0304393,-89.3750152
"127","2021-01-03","Sunday","Weapons Violation","2021-00002049","00:10","4000 block of Dempsey Rd","Sgt. Ryan Gibson",53716,43.0824096,-89.316005
"128","2021-01-02","Saturday","Robbery","2021-00001928","21:13","3600 block Cross Hill Dr (Casey's General Store)","Sgt. Ryan Gibson",53718,43.1422048,-89.2840779
"129","2021-01-02","Saturday","Weapons Violation","2021-00002002","23:09","7000 block Tree Ln","Sgt. Ryan Gibson",53717,43.0655982,-89.5027967
"130","2021-01-01","Friday","Traffic Incident","2021-000259","04:04","S Whitney Way and Mineral Point Rd","PIO Tyler Grigg",53711,43.0608081,-89.4720169
"131","2021-01-01","Friday","Weapons Violation","2021-000039","00:23","Britta Pkwy and Whenona Dr","PIO Tyler Grigg",53711,43.0342655,-89.4485895
"132","2021-01-01","Friday","Weapons Violation","2021-000431","09:56","Todd Dr and McDivitt Rd","PIO Tyler Grigg",53713,43.0333512,-89.4229622
"133","2020-12-29","Tuesday","Theft","2020-473395","02:00","600 block of S Dickinson St","PIO Tyler Grigg",53703,43.0844625,-89.3590411
"134","2020-12-29","Tuesday","Arrested Person","2020-473153","00:03","400 Block of Commerce Dr (Hampton Inn Hotel)","Lt. Shannon Blackamore",53719,43.0600187,-89.5256835
"135","2020-12-28","Monday","Traffic Incident","2020-472348","12:29","Gammon Lane at Odana Rd","PIO Tyler Grigg",53719,43.0566156,-89.5030488
"136","2020-12-28","Monday","Traffic Incident","2020-472348","12:29","Gammon Lane at Odana Rd","PIO Tyler Grigg",53719,43.0566156,-89.5030488
"137","2020-12-28","Monday","Check Person","2020-472551","13:24","1700 Jefferson St.","Lt. Eugene Woehrle",53711,43.064975,-89.4135028
"138","2020-12-26","Saturday","Death Investigation","2020-470008","08:37","1800 block of Portage Rd","PIO Tyler Grigg",53704,43.1237732,-89.3145331
"139","2020-12-26","Saturday","Weapons Violation","2020-470839","23:58","1100 block of Moorland Rd","Sgt. Nicholas Eull",53713,43.0337008,-89.3667818
"140","2020-12-25","Friday","Disturbance","2020-469089","02:28","2800 block of Dahle St","PIO Tyler Grigg",53704,43.1084079,-89.3452922
"141","2020-12-24","Thursday","Weapons Violation","2020-468480","13:35","2000 block of Mckenna Blvd","PIO Tyler Grigg",53711,43.0317059,-89.4970321
"142","2020-12-23","Wednesday","Residential Burglary","2020-468101","17:29","4500 block Martha Lane","PIO Tyler Grigg",53714,43.0859686,-89.3056376
"143","2020-12-22","Tuesday","Intoxicated/Impaired Driver","2020-466108","12:09","1800 block S. Stoughton Rd.","PIO Joel Despain",53716,43.0731039,-89.3098897
"144","2020-12-21","Monday","Traffic Incident","2020-464446","03:16","6400 block of Toribrooke Ln","PIO Tyler Grigg",53719,43.0148903,-89.4934463
"145","2020-12-21","Monday","Intoxicated/Impaired Driver","2020-465551","23:33","5400 block of Golden Leaf Trail","PIO Tyler Grigg",53704,43.1119958,-89.2892999
"146","2020-12-20","Sunday","Traffic Incident","2020-464067","18:29","East Washington Ave. (Zeier Rd.)","PIO Joel Despain",NA,43.1096584,-89.3353739
"147","2020-12-20","Sunday","Non-Residential Burglary","2020-463465","03:36","222 E Olin Ave","P.O. Tyler Grigg",53713,43.0522093,-89.3796761
"148","2020-12-19","Saturday","Non-Residential Burglary","2020-462683","05:00","2200 block Independence Lane","PIO Joel Despain",53704,43.1281555,-89.3084256
"149","2020-12-19","Saturday","Weapons Violation","2020-462387","07:40","5600 block of Kalas Street","Lt. David Jugovich",53716,43.0796399,-89.2851578
"150","2020-12-19","Saturday","Weapons Violation","2020-462324","04:54","300 block of Rethke Ave","Lt. Kipp Hartman",53714,43.1025127,-89.3356457
"151","2020-12-19","Saturday","Weapons Violation","2020-462195","01:10","200 Block of W Gilman St","Lt. Kipp Hartman",53703,43.0760909,-89.391654
"152","2020-12-18","Friday","Non-Residential Burglary","2020-461939","20:16","4640 E Washington Ave","P.O. Tyler Grigg",53704,43.131391,-89.305235
"153","2020-12-18","Friday","Disturbance","2020-461838","18:55","3220 Commercial Ave","P.O. Tyler Grigg",53714,43.1073203,-89.3342753
"154","2020-12-18","Friday","Disturbance","2020-461838","18:55","3220 Commercial Ave","P.O. Tyler Grigg",53714,43.1073203,-89.3342753
"155","2020-12-18","Friday","Weapons Violation","2020-462086","23:06","444 Grand Canyon Dr (Schwoeglers Park Towne Lanes)","Lt. Kipp Hartman",53719,43.0576964,-89.4973983
"156","2020-12-18","Friday","Non-Residential Burglary","2020-461259","09:56","1124 S. Park St. (Ramen Station)","PIO Joel Despain",53715,43.0540051,-89.3967899
"157","2020-12-17","Thursday","Arrested Person","2020-460225","13:05","2000 block Packers Ave.","PIO Joel Despain",53704,43.1204148,-89.3554623
"158","2020-12-17","Thursday","Miscellaneous Sex Offense","2020-345366","07:39","2600 block of Moland St","P.O. Tyler Grigg",53704,43.1076493,-89.3490614
"159","2020-12-16","Wednesday","Theft","2020-458721","06:08","400 block of S Yellowstone Dr","P.O. Tyler Grigg",53705,43.060617,-89.4920083
"160","2020-12-15","Tuesday","Intoxicated/Impaired Driver","2020-457521","06:56","S. Park Street (at West Beltline Highway)","PIO Joel Despain",NA,43.0507929,-89.3944559
"161","2020-12-15","Tuesday","Traffic Incident","2020-457835","11:46","West Beltline Highway (near South Towne)","PIO Joel Despain",NA,43.0428229,-89.4657145
"162","2020-12-14","Monday","Weapons Violation","2020-456669","12:35","Atwood Ave at Hudson Ave","P.O. Tyler Grigg",53704,43.0939443,-89.3450412
"163","2020-12-14","Monday","Non-Residential Burglary","2020-456250","05:43","2306 S. Park St.","PIO Joel Despain",53713,43.0406371,-89.3952561
"164","2020-12-13","Sunday","Traffic Incident","2020-455956","19:19","Raymond Rd. (at McKenna Blvd.)","PIO Joel Despain",NA,43.0317269,-89.4959904
"165","2020-12-12","Saturday","Traffic Incident","2020-453819","07:41","USH 12 W/B at S. Park Street","Lt. David Jugovich",NA,43.0507929,-89.3944559
"166","2020-12-12","Saturday","Traffic Incident","2020-453819","07:41","USH 12 W/B at S. Park Street","Lt. David Jugovich",NA,43.0507929,-89.3944559
"167","2020-12-12","Saturday","Information","2020-453962","06:00","211 S. Carroll Street","Lt. David Jugovich",53703,43.0723971,-89.3825501
"168","2020-12-11","Friday","Robbery","2020-453264","20:30","6700 block of Mineral Point Rd (Capitol Petro Mart Gas Station)","Sgt. Ryan Gibson",53705,43.0608229,-89.4971153
"169","2020-12-11","Friday","Weapons Violation","2020-453857","18:45","1700 block Heath Avenue","Lt. David Jugovich",53704,43.1196331,-89.3636714
"170","2020-12-11","Friday","Traffic Incident","2020-453450","23:20","S Gammon Rd and Park Ridge Dr","Sgt. Ryan Gibson",53719,43.0445545,-89.5033166
"171","2020-12-11","Friday","Non-Residential Burglary","2020-452384","07:05","1810 S. Park St.","PIO Joel Despain",53713,43.0465044,-89.3946069
"172","2020-12-09","Wednesday","Exposure","2020-450536","17:07","1759 Thierer Rd","P.O. Tyler Grigg",53704,43.1235174,-89.3128214
"173","2020-12-09","Wednesday","Weapons Violation","2020-450261","13:00","1600 block Fordem Ave.","PIO Joel Despain",53704,43.0933395,-89.3636741
"174","2020-12-09","Wednesday","Weapons Violation","2020-450496","16:34","1200 block McKenna Blvd.","PIO Joel Despain",53719,43.0410724,-89.5049701
"175","2020-12-08","Tuesday","Robbery","2020-449166","14:30","3859 E. Washington Ave. (Mobil gas station)","PIO Joel Despain",53704,43.1206465,-89.3176848
"176","2020-12-08","Tuesday","Robbery","2020-448994","12:33","Green Ave at Meadow Ridge Ln","P.O. Tyler Grigg",53704,43.1376665,-89.3978121
"177","2020-12-08","Tuesday","Traffic Incident","2020-449076","13:37","Agriculture Drive (at Femrite Drive)","PIO Joel Despain",NA,43.0531626,-89.291602
"178","2020-12-07","Monday","Theft","2020-447318","05:27","N. Blackhawk Ave.","PIO Joel Despain",53705,43.0718491,-89.4463678
"179","2020-12-07","Monday","Weapons Violation","2020-447493","10:03","3101 N. Sherman Ave. (Mobil gas station)","PIO Joel Despain",53704,43.1300607,-89.3631846
"180","2020-12-07","Monday","Traffic Incident","2020-447506","10:13","N. Whitney Way (at Odana Rd.)","PIO Joel Despain",53705,43.072176,-89.4681167
"181","2020-12-07","Monday","Traffic Incident","2020-447506","10:13","N. Whitney Way (at Odana Rd.)","PIO Joel Despain",53705,43.072176,-89.4681167
"182","2020-12-07","Monday","Residential Burglary","2020-447260","02:57","Waban Hill","PIO Joel Despain",53711,43.0433399,-89.448013
"183","2020-12-06","Sunday","Intoxicated/Impaired Driver","2020-446998","20:09","Northport Dr. (at N. Sherman Ave.)","PIO Joel Despain",53704,43.1367001,-89.3785882
"184","2020-12-06","Sunday","Theft","2020-446451","08:55","800 block N. Thompson Dr.","PIO Joel Despain",53704,43.1088047,-89.2986742
"185","2020-12-05","Saturday","Non-Residential Burglary","2020-445519","12:41","1114 S. Park St. (Olivia's Hairstyles)","PIO Joel Despain",53715,43.0545635,-89.3972576
"186","2020-12-05","Saturday","Robbery","2020-445827","17:50","1625 N. Stoughton Rd. (Kwik Trip)","PIO Joel Despain",53704,43.120749,-89.3243631
"187","2020-12-04","Friday","Theft","2020-444025","06:23","800 block N. Thompson Dr.","PIO Joel Despain",53704,43.1088047,-89.2986742
